40492|240545
47|200100
48|200101
10147|210200
49|200102
50|200103
20147|220200
51|200104
10148|210201
52|200105
10149|210202
30147|230200
10150|210203
20148|220201
20149|220202
30148|230201
40493|240546
45|200031
46|200032
50745|250798
53|200106
54|200107
641|200694
55|200108
56|200109
57|200110
642|200695
58|200111
59|200112
10151|210204
60|200113
643|200696
61|200114
62|200115
63|200116
644|200697
64|200117
65|200118
645|200698
10152|210205
646|200699
647|200700
20150|220203
648|200701
10153|210206
10154|210207
10155|210208
20151|220204
30149|230202
20152|220205
20153|220206
30150|230203
40494|240547
60147|260200
50746|250799
79947|280000
10156|210209
66|200119
67|200120
68|200121
10157|210210
69|200122
70|200123
71|200124
10158|210211
72|200125
73|200126
20154|220207
74|200127
10159|210212
75|200128
76|200129
77|200130
10160|210213
30151|230204
10161|210214
20155|220208
10162|210215
10163|210216
20156|220209
40495|240548
20157|220210
30152|230205
20158|220211
30153|230206
30154|230207
40496|240549
40497|240550
50747|250800
60148|260201
89947|290000
99947|300000
78|200131
10164|210217
79|200132
80|200133
81|200134
10165|210218
82|200135
83|200136
20159|220212
84|200137
10166|210219
85|200138
86|200139
87|200140
10167|210220
88|200141
89|200142
90|200143
10168|210221
20160|220213
10169|210222
10170|210223
10171|210224
20161|220214
30155|230208
20162|220215
20163|220216
30156|230209
40498|240551
30157|230210
50748|250801
40499|240552
50749|250802
60149|260202
79948|280001
91|200144
92|200145
10172|210225
93|200146
94|200147
20164|220217
95|200148
10173|210226
96|200149
97|200150
98|200151
10174|210227
99|200152
100|200153
30158|230211
101|200154
10175|210228
102|200155
20165|220218
10176|210229
10177|210230
10178|210231
20166|220219
10179|210232
20167|220220
30159|230212
20168|220221
20169|220222
30160|230213
40500|240553
30161|230214
40501|240554
50750|250803
60150|260203
79949|280002
103|200156
104|200157
10180|210233
105|200158
106|200159
107|200160
10181|210234
108|200161
109|200162
110|200163
10182|210235
111|200164
112|200165
20170|220223
113|200166
10183|210236
114|200167
115|200168
10184|210237
10185|210238
20171|220224
10186|210239
10187|210240
30162|230215
20172|220225
20173|220226
20174|220227
30163|230216
40502|240555
30164|230217
50751|250804
40503|240556
57260|257313
60151|260204
89948|290001
116|200169
10188|210241
117|200170
118|200171
119|200172
10189|210242
120|200173
121|200174
20175|220228
122|200175
10190|210243
123|200176
124|200177
125|200178
10191|210244
126|200179
127|200180
30165|230218
10192|210245
20176|220229
10193|210246
10194|210247
10195|210248
20177|220230
20178|220231
30166|230219
20179|220232
40504|240557
30167|230220
30168|230221
40505|240558
50752|250805
60152|260205
79950|280003
89949|290002
128|200181
10196|210249
129|200182
130|200183
20180|220233
131|200184
10197|210250
132|200185
133|200186
134|200187
10198|210251
135|200188
136|200189
137|200190
10199|210252
138|200191
139|200192
20181|220234
140|200193
10200|210253
10201|210254
30169|230222
10202|210255
20182|220235
10203|210256
20183|220236
40506|240559
20184|220237
30170|230223
20185|220238
30171|230224
50753|250806
40507|240560
60153|260206
50754|250807
79951|280004
10204|210257
141|200194
152|200205
142|200195
143|200196
144|200197
153|200206
145|200198
146|200199
147|200200
10205|210258
148|200201
149|200202
150|200203
10206|210259
151|200204
154|200207
20186|220239
155|200208
10207|210260
156|200209
10208|210261
30172|230225
10209|210262
20187|220240
10210|210263
20188|220241
40508|240561
20189|220242
30173|230226
30174|230227
40509|240562
50755|250808
60154|260207
157|200210
10211|210264
158|200211
159|200212
160|200213
10212|210265
161|200214
162|200215
20190|220243
